,restaurant_name,restaurant_url,restaurant_tag,restaurant_neighborhood,restaurant_address,ratings,review_number,price
1,Haberdish,https://www.yelp.com/biz/haberdish-charlotte?sort_by=date_desc,"Southern,Cocktail Bars,",,"3106 N Davidson St,Charlotte, NC 28205",4.5,1372,$$ 
2,Good Food on Montford,https://www.yelp.com/biz/good-food-on-montford-charlotte-2?sort_by=date_desc,"American (New),Tapas/Small Plates,Cocktail Bars,",,"1701 Montford Dr,Charlotte, NC 28209",4.5,883,$$ 
3,The Cellar at Duckworth's,https://www.yelp.com/biz/the-cellar-at-duckworths-charlotte-2?sort_by=date_desc,"Gastropubs,Cocktail Bars,",,"330 N Tryon St,Charlotte, NC 28202",4.5,883,$$$ 
4,Rooster's - Uptown,https://www.yelp.com/biz/roosters-uptown-charlotte-5?sort_by=date_desc,"American (New),Bars,Southern,",,"150 N College St,Charlotte, NC 28202",4,591,$$ 
5,Easy Like Sunday,https://www.yelp.com/biz/easy-like-sunday-charlotte?sort_by=date_desc,"Breakfast & Brunch,American (Traditional),",,"1600 E Woodlawn Rd,Ste 100",4.5,436,$$ 
6,Dogwood A Southern Table,https://www.yelp.com/biz/dogwood-a-southern-table-charlotte?sort_by=date_desc,"Southern,American (New),",,"4905 Ashley Park Ln,Ste D",4.5,413,$$ 
7,Bulla Gastrobar,https://www.yelp.com/biz/bulla-gastrobar-charlotte-2?sort_by=date_desc,"Tapas Bars,Spanish,Gastropubs,",,"4310 Sharon Rd,Ste W01",4.5,553,$$ 
8,Peppervine,https://www.yelp.com/biz/peppervine-charlotte-4?sort_by=date_desc,"American (New),Cocktail Bars,",,"4620 Piedmont Row Dr,Ste 170B",4.5,182,Unclaimed 
9,The Southern Pecan,https://www.yelp.com/biz/the-southern-pecan-charlotte-2?sort_by=date_desc,"Southern,Beer Bar,Cocktail Bars,",,"6706-C Phillips Pl Ct,Charlotte, NC 28210",4.5,133,$$ 
10,Nuvole Rooftop TwentyTwo,https://www.yelp.com/biz/nuvole-rooftop-twentytwo-charlotte-2?sort_by=date_desc,"Cocktail Bars,American (New),",,"220 E Trade St,Ste 2200",3.5,174,$$ 
