,name,link,address,city,state,ratings,zipcode,Studio,1 BED,2 BEDS,3 BEDS,3+ BEDS,2+ BEDS
0,Centric Gateway,https://www.rentcafe.com/apartments/nc/charlotte/centric-gateway/default.aspx,1010 West Trade Street,Charlotte,NC,4.50,28202,Ask for pricing,"$1,596+","$2,065+",,,
1,Hawthorne At The Bend,https://www.rentcafe.com/apartments/nc/hampstead/hawthorne-at-the-bend/default.aspx,75 Siskin Circle,Hampstead,NC,4.50,28443,Ask for pricing,"$1,313+","$1,597+",Ask for pricing,,
2,29 North,https://www.rentcafe.com/apartments/nc/hickory/29-north/default.aspx,112 29Th Ave Dr NW,Hickory,NC,5.00,28601,Ask for pricing,"$1,313+","$1,597+",Ask for pricing,,
3,2216 Cotton Dr,https://www.rentcafe.com/apartments/nc/tarboro/2216-cotton-dr0/default.aspx,2216 Cotton Dr,Tarboro,NC,5.00,27886,Ask for pricing,"$1,313+","$1,597+","$1,299",,
4,Millbrook Apartments,https://www.rentcafe.com/apartments/nc/greensboro/millbrook-apartments/default.aspx,1101 E Barton St,Greensboro,NC,5.00,27407,Ask for pricing,$975,"$1,100","$1,299",,
5,Lexington On The Green,https://www.rentcafe.com/apartments/nc/raleigh/lexington-on-the-green-0/default.aspx,4803 N New Hope Rd,Raleigh,NC,3.00,27604,Ask for pricing,"$1,084+","$1,405",Ask for pricing,,
6,Midwood Drive Apartments,https://www.rentcafe.com/apartments/nc/raleigh/1806-a-d-midwood-drive/default.aspx,1806 Midwood Drive,Raleigh,NC,3.00,27604,Ask for pricing,"$1,084+","$1,545",Ask for pricing,,
7,Willow Ridge Apartments,https://www.rentcafe.com/apartments/nc/charlotte/willow-ridge-apartments/default.aspx,9200 Willow Ridge Road,Charlotte,NC,4.00,28210,Ask for pricing,"$1,290+","$1,469+",Ask for pricing,,
8,Hawthorne At Bear Creek,https://www.rentcafe.com/apartments/nc/asheville/hawthorne-at-bear-creek/default.aspx,110 Bear Creek Lane,Asheville,NC,4.00,28806,Ask for pricing,Ask for pricing,"$1,285+",Ask for pricing,"$1,427+",
9,Peppertree,https://www.rentcafe.com/apartments/nc/charlotte/peppertree-2/default.aspx,4335 Central Ave.,Charlotte,NC,4.50,28205,Ask for pricing,"$1,044+","$1,859+",Ask for pricing,"$1,427+",
10,Elizabeth Flats On 7th At Laurel,https://www.rentcafe.com/apartments/nc/charlotte/elizabeth-flats-on-7th-at-laurel/default.aspx,2220 East 7Th Street,Charlotte,NC,4.50,28204,Ask for pricing,Ask for pricing,"$1,400",Ask for pricing,"$1,427+",
11,Parkway Station Apartment Homes,https://www.rentcafe.com/apartments/nc/concord/parkway-station-apartment-homes/default.aspx,100 Samuel Adams Cir,Concord,NC,4.50,28027,Ask for pricing,"$1,155+","$1,382+","$1,665+","$1,427+",
12,Cumberland Towers,https://www.rentcafe.com/apartments/nc/fayetteville/cumberland-towers/default.aspx,2580 Cumberland Creek Dr,Fayetteville,NC,4.50,28306,Ask for pricing,$899,"$1,099","$1,399","$1,427+",
