,name,link,address,city,state,ratings,zipcode,1 BED,2 BEDS,Studio,2+ BEDS,3 BEDS,4 BEDS
0,Terrace Oaks,https://www.rentcafe.com/apartments/nc/greensboro/terrace-oaks0/default.aspx,3803 Cotswold Ave.,Greensboro,NC,,27410,Ask for pricing,"$1,315",,,,
1,Westwood Park,https://www.rentcafe.com/apartments/nc/cary/westwood-park0/default.aspx,600 Glendon Way,Cary,NC,,27519,Ask for pricing,"$1,315",,,,
2,Silos South End,https://www.rentcafe.com/apartments/nc/charlotte/silos-south-end/default.aspx,131 Poindexter Drive,Charlotte,NC,4.00,28203,"$1,750+","$1,315","$1,735+","$2,575+",,
3,Patriots Pointe,https://www.rentcafe.com/apartments/nc/hillsborough/patriots-pointe-1/default.aspx,100 Patriots Pointe Drive,Hillsborough,NC,4.00,27278,"$1,437+","$1,621+","$1,735+","$2,575+","$1,568+",
4,Marshall Park Apartments + Townhomes,https://www.rentcafe.com/apartments/nc/raleigh/marshall-park-apartments-townhomes-0/default.aspx,3950 Fairsted Dr,Raleigh,NC,5.00,27612,"$1,495+","$1,870+","$1,735+","$2,575+","$2,730+",
5,Clairmont At Trinity,https://www.rentcafe.com/apartments/nc/raleigh/5700-trinity-road-raleigh-nc-276070/default.aspx,1601 Medlin Creek Loop,Raleigh,NC,5.00,27607,"$1,301+","$1,909+","$1,735+","$2,575+","$2,730+",
6,Arlington West Apartments,https://www.rentcafe.com/apartments/nc/greenville/arlington-west-apartments/default.aspx,1604 W Arlington Blvd # 1,Greenville,NC,5.00,27834,$850+,$995+,"$1,735+","$2,575+","$2,730+",
7,Mariners Crossing,https://www.rentcafe.com/apartments/nc/raleigh/mariners-crossing/default.aspx,5723 Magellan Way,Raleigh,NC,5.00,27612,"$1,414+","$1,517+","$1,735+","$2,575+","$1,801+",
8,Stone Ridge,https://www.rentcafe.com/apartments/nc/charlotte/stone-ridge-8/default.aspx,8940 Camden Creek Lane,Charlotte,NC,5.00,28273,"$1,314+","$1,510+","$1,735+","$2,575+",Ask for pricing,
9,6122 Hunter Ave,https://www.rentcafe.com/apartments/nc/charlotte/6122-hunter-ave/default.aspx,6122 Hunter Ave,Charlotte,NC,5.00,28262,"$1,314+","$1,510+","$1,735+","$2,575+",Ask for pricing,"$2,149"
