,name,link,address,city,state,ratings,zipcode,1 BED,2 BEDS,3 BEDS,4 BEDS,Studio,2+ BEDS
0,Brighton Park,https://www.rentcafe.com/apartments/nc/greenville/brighton-park0/default.aspx,2500 W 5Th St,Greenville,NC,,27834,$895+,Ask for pricing,,,,
1,Abberly Liberty Crossing Apartment Homes,https://www.rentcafe.com/apartments/nc/charlotte/abberly-liberty-crossing/default.aspx,16200 Croft Drive,Charlotte,NC,,28269,"$1,538+","$1,854+","$2,320+",,,
2,6130 Hunter Ave,https://www.rentcafe.com/apartments/nc/charlotte/6130-hunter-ave/default.aspx,6130 Hunter Ave,Charlotte,NC,,28262,"$1,538+","$1,854+","$2,320+","$2,149",,
3,Matthews Square Apartments,https://www.rentcafe.com/apartments/nc/matthews/bainbridge-matthews/default.aspx,4010 Waiting Street,Matthews,NC,4.00,28105,"$1,445+","$2,070+",Ask for pricing,"$2,149",,
4,Bell Riverbend Village,https://www.rentcafe.com/apartments/nc/charlotte/bell-riverbend-village/default.aspx,1018 Riverbend Station Terrace,Charlotte,NC,4.50,28216,"$1,355+","$1,545+",Ask for pricing,"$2,149",,
5,Pointe At Wimbledon,https://www.rentcafe.com/apartments/nc/greenville/pointe-at-wimbledon/default.aspx,1530 Wimbledon Drive,Greenville,NC,4.50,27858,"$1,112","$1,425","$1,601","$2,149",,
6,"2518 Mid Salem Drive Winston Salem, NC  27103",https://www.rentcafe.com/apartments/nc/winston-salem/2518-mid-salem-drive-winston-salem-nc-27103/default.aspx,2518 Mid Salem Drive,Winston Salem,NC,4.50,27103,"$1,112","$1,425","$1,400","$2,149",,
7,The Verandas At Lake Norman,https://www.rentcafe.com/apartments/nc/cornelius/the-verandas-at-lake-norman/default.aspx,18510 The Commons Blvd,Cornelius,NC,4.00,28031,"$1,182+","$1,459+","$1,752+","$2,149",,
8,Legacy At Sedgefield,https://www.rentcafe.com/apartments/nc/greensboro/legacy-at-sedgefield/default.aspx,3716-A Groometown Road,Greensboro,NC,4.00,27406,"$1,182+","$1,200","$1,752+","$2,149",,
9,Midtown 205,https://www.rentcafe.com/apartments/nc/charlotte/midtown-205/default.aspx,205 S Kings Dr,Charlotte,NC,4.00,28204,"$1,499+","$2,100+","$1,752+","$2,149","$1,364+",
10,Hawthorne At New Centre,https://www.rentcafe.com/apartments/nc/wilmington/hawthorne-at-new-centre/default.aspx,137 Dapple Court,Wilmington,NC,5.00,28403,"$1,070","$1,365","$1,752+","$2,149","$1,364+",
11,2200 Midtown Apartment Homes,https://www.rentcafe.com/apartments/nc/greensboro/2200-midtown-apartment-homes/default.aspx,2200 West Cornwallis Drive,Greensboro,NC,3.50,27408,$950+,"$1,065","$1,752+","$2,149","$1,364+",
