,name,link,address,city,state,ratings,zipcode,1 BED,2 BEDS,3 BEDS,Studio,2+ BEDS,4 BEDS
0,Sawmill Point,https://www.rentcafe.com/apartments/nc/wilmington/sawmill-point/default.aspx,"1015 Nutt Street,",Wilmington,NC,3.50,28401,"$1,550+","$2,000+",,,,
1,Hawthorne At Smith Creek,https://www.rentcafe.com/apartments/nc/wilmington/hawthorne-at-smith-creek/default.aspx,4641 Sweetfern Row,Wilmington,NC,3.50,28411,"$1,534","$1,755",Ask for pricing,,,
2,Skyhouse,https://www.rentcafe.com/apartments/nc/raleigh/skyhouse-0/default.aspx,308 S. Blount Street,Raleigh,NC,4.50,27601,"$1,697+","$1,755",Ask for pricing,"$1,487+","$2,335+",
3,UHill Apartments,https://www.rentcafe.com/apartments/nc/durham/university-hill0/default.aspx,3806 University Drive,Durham,NC,4.50,27707,"$1,742+","$1,755",Ask for pricing,"$1,968+","$2,269+",
4,Beacon Hill,https://www.rentcafe.com/apartments/nc/charlotte/beacon-hill0/default.aspx,1322 Beacon Ridge Road,Charlotte,NC,4.50,28210,"$1,017+","$1,189+",Ask for pricing,"$1,968+","$2,269+",
5,Emerald Bay,https://www.rentcafe.com/apartments/nc/charlotte/emerald-bay-5/default.aspx,5029 Cherrycrest Ln,Charlotte,NC,4.50,28217,"$1,017+","$1,189+",Ask for pricing,"$1,968+","$2,269+",
6,Haven At Birkdale Village,https://www.rentcafe.com/apartments/nc/huntersville/birkdale-village-0/default.aspx,16725 Birkdale Commons Pkwy,Huntersville,NC,4.50,28078,"$1,365+","$1,189+",Ask for pricing,"$1,438+","$2,111+",
7,130 Jo Creek Lane,https://www.rentcafe.com/apartments/nc/harmony/130-jo-creek-lane/default.aspx,130 Jo Creek Lane,Harmony,NC,4.50,28634,"$1,365+","$1,189+","$1,749","$1,438+","$2,111+",
8,36 Oak Street,https://www.rentcafe.com/apartments/nc/china-grove/36-oak-street/default.aspx,36 Oak Street,China Grove,NC,4.50,28023,"$1,365+","$1,189+","$1,599","$1,438+","$2,111+",
9,Summerlyn Place,https://www.rentcafe.com/apartments/nc/burlington/summerlyn-place1/default.aspx,750 Boone Station Drive,Burlington,NC,4.50,27215,"$1,275","$1,299",Ask for pricing,"$1,438+","$2,111+",
10,Lemmond Farm,https://www.rentcafe.com/apartments/nc/charlotte/lemmond-farm/default.aspx,12009 Lemmond Farm Drive,Charlotte,NC,4.00,28227,"$1,486+","$1,830+","$2,883+","$1,438+","$2,111+",
11,Hawthorne At Weaverville,https://www.rentcafe.com/apartments/nc/weaverville/hawthorne-at-weaverville/default.aspx,20 Weaver View Circle,Weaverville,NC,5.00,28787,"$1,486+","$1,830+","$2,883+","$1,438+","$2,111+",
12,Riverwalk Apartment Homes,https://www.rentcafe.com/apartments/nc/denver/riverwalk-3/default.aspx,6857 Riverwalk Loop,Denver,NC,5.00,28037,"$1,239+","$1,388+","$1,694+","$1,438+","$2,111+",
13,Avenues At Steele Creek,https://www.rentcafe.com/apartments/nc/charlotte/the-avenues-at-steele-creek/default.aspx,13001 Yorkridge Drive,Charlotte,NC,5.00,28273,"$1,490+","$1,584+","$1,836+","$1,438+","$2,111+",
14,Lexington Station,https://www.rentcafe.com/apartments/nc/lexington/lexington-station/default.aspx,110 Ridge Mill Cir,Lexington,NC,5.00,27295,$900+,"$1,000+",Ask for pricing,"$1,438+","$2,111+",
15,The Grove At Park Place,https://www.rentcafe.com/apartments/nc/fayetteville/the-grove-at-park-place/default.aspx,2640 Latrobe Avenue,Fayetteville,NC,5.00,28304,"$1,260","$1,400",Ask for pricing,"$1,438+","$2,111+",
16,Bell Preston Reserve,https://www.rentcafe.com/apartments/nc/cary/bell-preston-reserve/default.aspx,200 Berwick Valley Lane,Cary,NC,4.50,27513,"$1,328+","$1,634+","$2,149+","$1,438+","$2,111+",
17,Madison Farms,https://www.rentcafe.com/apartments/nc/charlotte/madison-farms0/default.aspx,12525 Oldehurst Place,Charlotte,NC,5.00,28262,"$1,395+","$1,625+","$2,100","$1,438+","$2,111+",
18,Madison Place,https://www.rentcafe.com/apartments/nc/charlotte/madison-place1/default.aspx,3010 Furr Court,Charlotte,NC,5.00,28273,"$1,490+","$1,865+","$2,290+","$1,438+","$2,111+",
19,Crestview Huntington,https://www.rentcafe.com/apartments/nc/concord/huntington-crestview/default.aspx,1100 Crystalwood Ct NW,Concord,NC,5.00,28027,"$1,095+","$1,865+","$2,290+",$822+,"$1,194+",
20,17 Social,https://www.rentcafe.com/apartments/nc/wilmington/17-social/default.aspx,1625 S 17Th Street,Wilmington,NC,4.00,28401,"$1,540+","$1,855+","$2,290+",Ask for pricing,"$1,194+",
21,River Mills Loft And Skyloft*,https://www.rentcafe.com/apartments/nc/asheville/river-mills-loft-and-skyloft/default.aspx,100 River Mill Drive,Asheville,NC,4.00,28803,"$1,540+","$1,855+","$2,290+",Ask for pricing,"$1,194+",
22,Poplar Place,https://www.rentcafe.com/apartments/nc/carrboro/poplar-place/default.aspx,605 Jones Ferry Rd.,Carrboro,NC,4.50,27510,"$1,207+","$1,357+","$2,290+",Ask for pricing,"$1,194+",
23,Huntersville Apartment Homes,https://www.rentcafe.com/apartments/nc/huntersville/huntersville-apartment-homes/default.aspx,300 Hunters Rd,Huntersville,NC,3.50,28078,"$1,190+","$1,357+","$2,290+",$975+,"$1,400+",
24,Harrison Grande,https://www.rentcafe.com/apartments/nc/cary/harrison-grande-0/default.aspx,300 Sudbury Dr,Cary,NC,3.50,27513,"$1,222+","$1,551+","$1,869+",$975+,"$1,400+",
25,Bethabara Village,https://www.rentcafe.com/apartments/nc/winston-salem/bethabara-village/default.aspx,2057 Bethabara Road,Winston Salem,NC,4.00,27106,$750,Ask for pricing,"$1,869+",$975+,"$1,400+",
