,name,link,address,city,state,ratings,zipcode,1 BED,2 BEDS,3 BEDS,Studio,2+ BEDS,4 BEDS,3+ BEDS
0,Madison Hall,https://www.rentcafe.com/apartments/nc/clemmons/madison-hall/default.aspx,6889 Idols Road,Clemmons,NC,,27012,,,,,,,
1,ARIUM Southpoint,https://www.rentcafe.com/apartments/nc/durham/arium-southpoint/default.aspx,5140 Copper Ridge Dr,Durham,NC,4.00,27707,"$1,205+","$1,465+",,,,,
2,Addison Point,https://www.rentcafe.com/apartments/nc/greensboro/addison-point/default.aspx,6227 Nile Place,Greensboro,NC,4.50,27409,"$1,195+","$1,310+",Ask for pricing,,,,
3,Willowwood Apartments,https://www.rentcafe.com/apartments/nc/raleigh/willowwood-apartments2/default.aspx,2814 O'berry St,Raleigh,NC,4.50,27607,"$1,195+","$1,795",Ask for pricing,,,,
4,Glennwood Apartments,https://www.rentcafe.com/apartments/nc/burlington/glennwood-apartments-0/default.aspx,1528 S. Mebane St.,Burlington,NC,4.50,27215,"$1,030","$1,795",Ask for pricing,$950,"$1,115",,
5,The Legends At Morganton Park,https://www.rentcafe.com/apartments/nc/southern-pines/the-legends-at-morganton-park/default.aspx,500 Legends Drive,Southern Pines,NC,4.50,28387,"$1,400+","$1,725+","$2,050",$950,"$1,115",,
6,Gallery Lofts,https://www.rentcafe.com/apartments/nc/winston-salem/gallery-lofts/default.aspx,181 E. 6Th Street,Winston-Salem,NC,4.50,27101,"$1,425","$1,694","$2,050",$950,"$1,115",,
7,The Legends,https://www.rentcafe.com/apartments/nc/hickory/the-legends/default.aspx,2101  21St Street SE,Hickory,NC,4.00,28602,"$1,230+","$1,467+","$1,754+",$950,"$1,115",,
8,The Chelsea,https://www.rentcafe.com/apartments/nc/raleigh/the-trestles/default.aspx,3008 Calvary Drive,Raleigh,NC,3.00,27604,"$1,004+","$1,165+","$1,754+",$950,"$1,115",,
9,Willow Run Apartments,https://www.rentcafe.com/apartments/nc/fayetteville/willow-run-apartments/default.aspx,157 Treetop Dr.,Fayetteville,NC,4.00,28311,Ask for pricing,$984+,Ask for pricing,$950,"$1,115",,
10,Ashford Place,https://www.rentcafe.com/apartments/nc/charlotte/ashford-place/default.aspx,905 Pineville Point Ave,Charlotte,NC,4.00,28217,"$1,176+","$1,265+","$1,470+",$950,"$1,115",,
11,Cary Pines Apartments,https://www.rentcafe.com/apartments/nc/cary/cary-pines-apartments-0/default.aspx,1331 Wicklow Court,Cary,NC,4.50,27511,"$1,350+","$1,605+","$2,005",$950,"$1,115",,
