,name,link,address,city,state,ratings,zipcode,Studio,1 BED,2+ BEDS,2 BEDS,3 BEDS,4 BEDS
0,Colonial Grand At Research Park,https://www.rentcafe.com/apartments/nc/durham/colonial-grand-at-research-park/default.aspx,400 Stone Lion Drive,Durham,NC,4.00,27703,"$1,463+","$1,358+","$1,853+",,,
1,Hampton Place Apartments,https://www.rentcafe.com/apartments/nc/burlington/hampton-place-apartments0/default.aspx,120 N Ireland,Burlington,NC,4.00,27215,"$1,463+","$1,358+","$1,853+",,,
2,Stratford Gardens,https://www.rentcafe.com/apartments/nc/winston---salem/stratford-gardens/default.aspx,S. Stratford Rd,Winston - Salem,NC,3.00,27103,"$1,463+","$1,358+","$1,853+",$795,,
3,435 NC 27 E,https://www.rentcafe.com/apartments/nc/lillington/435-nc-27-e/default.aspx,435 NC 27 E,Lillington,NC,3.00,27546,"$1,463+","$1,358+","$1,853+","$1,000",,
4,Elizabeth Flats On 7th,https://www.rentcafe.com/apartments/nc/charlotte/elizabeth-flats-on-7th/default.aspx,2220 E 7Th St,Charlotte,NC,3.00,28204,"$1,463+",Ask for pricing,"$1,853+","$1,400",,
5,Four Seasons Town Homes,https://www.rentcafe.com/apartments/nc/greensboro/four-seasons-town-homes/default.aspx,2705-D Four Seasons Boulevard,Greensboro,NC,3.50,27407,"$1,463+",Ask for pricing,"$1,853+","$1,400",,
6,Spring Manor,https://www.rentcafe.com/apartments/nc/greensboro/spring-manor0/default.aspx,West Meadowview Rd,Greensboro,NC,5.00,27406,"$1,463+",Ask for pricing,"$1,853+",$700+,$750+,
7,656 Dr Martin Luther King Jr Blvd,https://www.rentcafe.com/apartments/nc/kinston/656-dr-martin-luther-king-jr-blvd/default.aspx,656 Dr Martin Luther King Jr Blvd,Kinston,NC,5.00,28501,"$1,463+",Ask for pricing,"$1,853+",$700+,$750+,
8,Miriam,https://www.rentcafe.com/apartments/nc/charlotte/3805-miriam-dr/default.aspx,3805 Miriam Dr,Charlotte,NC,5.00,28205,"$1,000",Ask for pricing,"$1,853+",Ask for pricing,$750+,
9,Morehead West,https://www.rentcafe.com/apartments/nc/charlotte/morehead-west-apartments/default.aspx,2024 Millerton Avenue,Charlotte,NC,4.50,28208,"$1,000",Ask for pricing,"$1,853+",Ask for pricing,$750+,
10,MAA South Line,https://www.rentcafe.com/apartments/nc/charlotte/maa-south-line/default.aspx,222 East Bland Street,Charlotte,NC,4.00,28203,"$1,740+","$1,610+","$2,560+",Ask for pricing,$750+,
11,MAA Matthews Commons,https://www.rentcafe.com/apartments/nc/matthews/maa-matthews-commons/default.aspx,905 Matthews Commons Drive,Matthews,NC,5.00,28105,"$1,740+","$1,478+","$2,560+","$1,928+","$2,233+",
12,West First Street,https://www.rentcafe.com/apartments/nc/winston-salem/1606-west-first-street-winston-salem-nc-27104/default.aspx,1606 W 1Street,Winston Salem,NC,5.00,27104,"$1,740+",$900,"$2,560+","$1,928+","$2,233+",
13,422 S. Elm Street,https://www.rentcafe.com/apartments/nc/high-point/422-s-elm-street/default.aspx,422 S. Elm Street,High Point,NC,5.00,27260,"$1,740+",$900,"$2,560+",$595,"$2,233+",
14,Park South Apartments,https://www.rentcafe.com/apartments/nc/greensboro/park-south-apartments1/default.aspx,230 S Park Drive,Greensboro,NC,3.50,27401,"$1,740+",$925,"$2,560+",$595,"$2,233+",
15,Riverside Flats At Aberfoyle Village,https://www.rentcafe.com/apartments/nc/belmont/riverside-flats-at-aberfoyle-village/default.aspx,1200 River Drive,Belmont,NC,4.50,28012,"$1,740+",$925,"$2,560+",$595,"$2,233+",
16,MAA Fifty-One,https://www.rentcafe.com/apartments/nc/matthews/maa-fifty-one/default.aspx,1301 Crescent Lane,Matthews,NC,5.00,28105,"$1,740+","$1,308+","$2,560+","$1,573+","$1,803+",
17,Carrington At Perimeter Park,https://www.rentcafe.com/apartments/nc/morrisville/carrington-at-perimeter-park-new/default.aspx,1001 Carrington Park Circle,Morrisville,NC,5.00,27560,"$1,740+","$1,308+","$2,560+","$1,573+","$1,803+",
18,Four One Five Flats,https://www.rentcafe.com/apartments/nc/charlotte/four-one-five-flats/default.aspx,415 W. 10TH ST.,CHARLOTTE,NC,4.00,28202,"$1,740+","$1,308+","$2,560+","$1,573+","$1,803+",
19,Riverwood Villas-rwvillas,https://www.rentcafe.com/apartments/nc/clayton/rwac-rental-llc/default.aspx,100 Stansbury Lane,Clayton,NC,4.00,27527,"$1,740+",Ask for pricing,"$2,560+","$1,365","$1,803+",
20,Taylor's Pond,https://www.rentcafe.com/apartments/nc/durham/taylor-s-pond/default.aspx,401 Archdale Drive,Durham,NC,4.00,27707,"$1,740+",Ask for pricing,"$2,560+","$1,713+","$1,803+",
21,1061 Rock Knoll Court,https://www.rentcafe.com/apartments/nc/winston-salem/1061-rock-knoll-court0/default.aspx,1061 Rock Knoll Court,Winston-Salem,NC,4.00,27107,"$1,740+",Ask for pricing,"$2,560+","$1,713+","$1,803+",
22,101 North Chestnut Street #9,https://www.rentcafe.com/apartments/nc/winston-salem/101-north-chestnut-street-90/default.aspx,101 N. Chestnut Street #9,Winston-Salem,NC,4.00,27101,"$1,740+",Ask for pricing,"$2,560+","$1,713+","$1,803+",
23,Colonial Grand At Brier Falls,https://www.rentcafe.com/apartments/nc/raleigh/colonial-grand-at-brier-falls/default.aspx,10200 Crichton Street,Raleigh,NC,5.00,27617,"$1,740+","$1,418+","$2,560+","$1,743+","$1,768+",
24,MAA University Lake,https://www.rentcafe.com/apartments/nc/charlotte/maa-university-lake/default.aspx,9401 Grove Hill Drive,Charlotte,NC,4.50,28262,"$1,740+","$1,508+","$2,560+","$1,558+","$1,798+",
25,Pilot View II,https://www.rentcafe.com/apartments/nc/king/pilot-view-ii/default.aspx,106 Stokes Dr.,King,NC,4.50,27021-8505,"$1,740+",Ask for pricing,"$2,560+",$795,"$1,798+",
26,Anker Haus,https://www.rentcafe.com/apartments/nc/charlotte/2925-commonwealth-llc/default.aspx,2925 Commonwealth Ave,Charlotte,NC,3.50,28205,"$1,740+",Ask for pricing,"$2,560+",$795,"$1,798+",
27,304 S Tate St,https://www.rentcafe.com/apartments/nc/greensboro/304-s-tate-st/default.aspx,304 S Tate St,Greensboro,NC,3.50,27403,"$1,740+",Ask for pricing,"$2,560+",$795,"$1,798+",
28,"Markham Street, LLC",https://www.rentcafe.com/apartments/nc/burlington/markham-street-llc/default.aspx,205 Markham St,Burlington,NC,3.50,27216,"$1,740+",Ask for pricing,"$2,560+",$795,"$1,798+",
29,1700 Old Hollow Road,https://www.rentcafe.com/apartments/nc/walkertown/1700-old-hollow-road0/default.aspx,1700 Old Hollow Road,Walkertown,NC,3.50,27057,"$1,740+",Ask for pricing,"$2,560+",$795,"$1,798+",$795
30,Walden Court,https://www.rentcafe.com/apartments/nc/charlotte/walden-court/default.aspx,9115 Olmsted Drive,Charlotte,NC,3.50,28262,"$1,740+","$1,185","$2,560+",Ask for pricing,"$1,798+",$795
31,MAA Enclave,https://www.rentcafe.com/apartments/nc/charlotte/maa-enclave/default.aspx,710 East 7Th Street Suite 126,Charlotte,NC,3.50,28202,"$1,433+",Ask for pricing,"$1,868+",Ask for pricing,"$1,798+",$795
32,1408 W Friendly Ave,https://www.rentcafe.com/apartments/nc/greensboro/1408-w-friendly-ave/default.aspx,1408 W Friendly Ave,Greensboro,NC,3.50,27403,"$1,433+",Ask for pricing,"$1,868+",Ask for pricing,"$1,798+",$795
33,The Preserve At Brier Creek,https://www.rentcafe.com/apartments/nc/raleigh/the-preserve-at-brier-creek/default.aspx,8400 Brass Mill Lane,Raleigh,NC,3.50,27617,"$1,433+","$1,413+","$1,868+","$1,863+","$2,228+",$795
34,58C,https://www.rentcafe.com/apartments/nc/durham/200-58c-woodcroft-parkway0/default.aspx,200-58C Woodcroft Parkway,Durham,NC,3.50,27713,"$1,100","$1,413+","$1,868+","$1,863+","$2,228+",$795
35,MAA Beverly Crest,https://www.rentcafe.com/apartments/nc/charlotte/maa-beverly-crest/default.aspx,7201 Shannopin Drive,Charlotte,NC,4.50,28270,"$1,100","$1,283+","$1,868+","$1,738+",Ask for pricing,$795
