,name,link,address,city,state,ratings,zipcode,1 BED,2 BEDS,3 BEDS,Studio,2+ BEDS,3+ BEDS,4 BEDS,5 BEDS
0,MAA Patterson,https://www.rentcafe.com/apartments/nc/durham/maa-patterson/default.aspx,100 Northcreek Drive,Durham,NC,3.50,27707,"$1,308+","$1,508+","$1,718+",,,,,
1,"Parkview Apt, LLC",https://www.rentcafe.com/apartments/nc/lexington/parkview-apt-llc/default.aspx,215-217 W. 3Rd Ave.,Lexington,NC,4.50,27292,Ask for pricing,$975,"$1,718+",,,,,
2,1133 Pickett Road,https://www.rentcafe.com/apartments/nc/jacksonville/1133-pickett-road/default.aspx,1133 Pickett Road,Jacksonville,NC,4.50,28540,Ask for pricing,$975,"$1,718+",$450,,,,
3,MAA Trinity,https://www.rentcafe.com/apartments/nc/raleigh/maa-trinity/default.aspx,1140 Trinity Pine Lane,Raleigh,NC,3.00,27607,"$1,318+","$1,568+","$1,778+",$450,,,,
4,Tapestry Tyvola,https://www.rentcafe.com/apartments/nc/charlotte/tapestry-tyvola/default.aspx,2051 Establishment Way,Charlotte,NC,3.00,28217,"$1,524+","$1,568+","$1,778+","$1,389+","$1,815+",,,
5,Wesley South At East Carolina,https://www.rentcafe.com/apartments/nc/greenville/wesley-south-at-east-carolina/default.aspx,108 Brownlea Drive,Greenville,NC,3.00,27858,$725,Ask for pricing,"$1,778+","$1,389+","$1,815+",,,
6,2830 Donovan Place,https://www.rentcafe.com/apartments/nc/raleigh/2830-donovan-place/default.aspx,2830 Donovan Place,Raleigh,NC,3.00,27610,$725,Ask for pricing,"$1,700","$1,389+","$1,815+",,,
7,MAA Prosperity Creek,https://www.rentcafe.com/apartments/nc/charlotte/maa-prosperity-creek/default.aspx,3025 Mallard Hill Drive,Charlotte,NC,3.50,28269,"$1,288+","$1,538+",Ask for pricing,"$1,389+","$1,815+",,,
8,Lochridge,https://www.rentcafe.com/apartments/nc/durham/lochridge/default.aspx,100 Lochridge Drive,Durham,NC,3.50,27713,"$1,288+",Ask for pricing,"$1,878+","$1,389+","$1,815+",,,
9,MAA Uptown,https://www.rentcafe.com/apartments/nc/charlotte/maa-uptown/default.aspx,305 N. Graham Street,Charlotte,NC,3.50,28202,"$1,430+",Ask for pricing,"$1,878+","$1,395+","$2,035+",,,
10,Hawk's Nest,https://www.rentcafe.com/apartments/nc/durham/hawk-s-nest/default.aspx,3400 Sandy Creek Drive,Durham,NC,3.50,27705,"$1,430+",Ask for pricing,"$1,878+","$1,395+","$2,035+",,,
11,Neon Genesis Towers,https://www.rentcafe.com/apartments/nc/tokyo-3/neon-genesis-towers/default.aspx,Neon Genesis Towers,Tokyo 3,NC,3.50,27614,$875,$950,"$1,878+","$1,395+","$2,035+","$1,125",,
12,Saddlebrook Townhomes,https://www.rentcafe.com/apartments/nc/fayetteville/saddlebrook0/default.aspx,4828 Durango Ct,Fayetteville,NC,3.50,28304,$875,"$1,195","$1,878+","$1,395+","$2,035+","$1,125",,
