,name,link,address,city,state,ratings,zipcode,3 BEDS,4 BEDS,2 BEDS,5 BEDS
0,"7008 Hidden Creek Drive Charlotte, NC 28214",https://www.rentcafe.com/apartments/nc/charlotte/7008-hidden-creek-drive-charlotte-nc-28214-0/default.aspx,7008 Hidden Creek Drive,Charlotte,NC,,28214,"$1,752",,,
1,Still Meadow Village I,https://www.rentcafe.com/apartments/nc/wilmington/still-meadow-village-i/default.aspx,4632 Still Meadow Dr.,Wilmington,NC,4.50,28412,"$1,752",,,
2,"1809 Larkhill Court Kernersville, NC 27284",https://www.rentcafe.com/apartments/nc/kernersville/1809-larkhill-court-kernersville-nc-27284/default.aspx,1809 Larkhill Court,Kernersville,NC,4.50,27284,"$2,195",,,
3,"4215 Greenfield Circle Northwest Concord, NC 28027",https://www.rentcafe.com/apartments/nc/concord/4215-greenfield-circle-northwest-concord-nc-28027/default.aspx,4215 Greenfield Circle Northwest,Concord,NC,4.50,28027,"$2,195","$2,995",,
4,Creekside Apartments,https://www.rentcafe.com/apartments/nc/pittsboro/creekside-apartments11/default.aspx,25 Creekside Circle,Pittsboro,NC,4.50,27312,"$2,195","$2,995",,
5,Still Meadow Village II,https://www.rentcafe.com/apartments/nc/wilmington/still-meadow-village-ii/default.aspx,4632 Still Meadow Dr.,Wilmington,NC,4.00,28412,"$2,195","$2,995",,
6,"6804 Jamison Lane Charlotte, NC 28269",https://www.rentcafe.com/apartments/nc/charlotte/6804-jamison-lane-charlotte-nc-28269/default.aspx,6804 Jamison Lane,Charlotte,NC,4.00,28269,"$2,195","$2,095",,
7,4712-A Hollowell Lane,https://www.rentcafe.com/apartments/nc/raleigh/4712-a-hollowell-lane0/default.aspx,4712-A Hollowell Lane,Raleigh,NC,4.00,27604,"$2,195","$2,095",,
8,Country Club Townhomes,https://www.rentcafe.com/apartments/nc/morehead-city/country-club-townhomes-0/default.aspx,4600 Country Club Rd Apt 104H,Morehead City,NC,4.00,28557,"$2,195","$2,095",$925,
9,"6105 Creft Circle Indian Trail, NC 28079",https://www.rentcafe.com/apartments/nc/indian-trail/6105-creft-circle-indian-trail-nc-28079-0/default.aspx,6105 Creft Circle,Indian Trail,NC,4.00,28079,"$2,245","$2,095",$925,
10,"138 Marsh Creek Drive Garner, NC 27529",https://www.rentcafe.com/apartments/nc/garner/138-marsh-creek-drive-garner-nc-27529-0/default.aspx,138 Marsh Creek Drive,Garner,NC,4.00,27529,"$2,245","$2,295",$925,
11,"7052 Avenbury Circle Kernersville, NC 27284",https://www.rentcafe.com/apartments/nc/kernersville/7052-avenbury-circle-kernersville-nc-27284/default.aspx,7052 Avenbury Circle,Kernersville,NC,4.00,27284,"$2,245","$1,995",$925,
12,"10018 Mountain Apple Drive Mint Hill, NC 28227",https://www.rentcafe.com/apartments/nc/mint-hill/10018-mountain-apple-drive-mint-hill-nc-28227/default.aspx,10018 Mountain Apple Drive,Mint Hill,NC,4.00,28227,"$1,895","$1,995",$925,
13,Mill Cove,https://www.rentcafe.com/apartments/nc/raleigh/mill-cove0/default.aspx,6401 Mill Cove Drive,Raleigh,NC,4.00,27617,"$1,895","$1,995",$925,
14,"3993 Appleton Rd Greensboro, NC 27405",https://www.rentcafe.com/apartments/nc/greensboro/3993-appleton-rd-greensboro-nc-27405-0/default.aspx,3993 Appleton Rd,Greensboro,NC,4.00,27405,"$1,695","$1,995",$925,
15,"633 Cambridge Farm Court Winston-Salem, NC 27284",https://www.rentcafe.com/apartments/nc/winston-salem/633-cambridge-farm-court-winston-salem-nc-27284/default.aspx,633 Cambridge Farm Court,Winston-Salem,NC,4.00,27284,"$1,695","$1,795",$925,
16,"3361 Wiliton Way High Point, NC 27260",https://www.rentcafe.com/apartments/nc/high-point/3361-wiliton-way-high-point-nc-27260/default.aspx,3361 Wiliton Way,High Point,NC,4.00,27260,"$1,695","$1,795",$925,
17,Campus Walk Apartments,https://www.rentcafe.com/apartments/nc/greenville/campus-walk-at-east-carolina/default.aspx,810 Cotanche Street,Greenville,NC,4.00,27858,"$1,695","$1,795",$925,
18,917 Wade Avenue,https://www.rentcafe.com/apartments/nc/garner/917-wade-avenue/default.aspx,917 Wade Avenue,Garner,NC,4.00,27529,"$1,695","$1,795",$925,
19,Vista Court Condo,https://www.rentcafe.com/apartments/nc/winston-salem/vista-court-condo3/default.aspx,420-B Vista Court,Winston-Salem,NC,4.00,27106,"$1,695","$1,795",$925,
20,"615 Frank Street Kannapolis, NC 28081",https://www.rentcafe.com/apartments/nc/kannapolis/615-frank-street-kannapolis-nc-28081/default.aspx,615 Frank Street,Kannapolis,NC,4.00,28081,"$1,825","$1,795",$925,
