,name,link,address,city,state,ratings,zipcode,3 BEDS,4 BEDS,2 BEDS,5 BEDS,1 BED
0,"3211 Irwin Valley Court Charlotte, NC 28269",https://www.rentcafe.com/apartments/nc/charlotte/3211-irwin-valley-court-charlotte-nc-28269/default.aspx,3211 Irwin Valley Court,Charlotte,NC,,28269,"$1,875",,,,
1,5324 Delta Drive,https://www.rentcafe.com/apartments/nc/winston-salem/5324-delta-drive0/default.aspx,5324 Delta Drive,Winston-Salem,NC,,27104,"$1,875",,,,
2,Valley Glen,https://www.rentcafe.com/apartments/nc/morrisville/valley-glen0/default.aspx,201 Valley Glen Drive,Morrisville,NC,,27560,"$1,875",,,,
3,"2616 Brightmoor Ridge Dr Matthews, NC 28105",https://www.rentcafe.com/apartments/nc/matthews/2616-brightmoor-ridge-dr-matthews-nc-28105-0/default.aspx,2616 Brightmoor Ridge Dr,Matthews,NC,,28105,"$2,025",,,,
4,"13313 Centennial Commons Parkway Huntersville, NC 28078",https://www.rentcafe.com/apartments/nc/huntersville/13313-centennial-commons-parkway-huntersville-nc-28078-0/default.aspx,13313 Centennial Commons Parkway,Huntersville,NC,,28078,"$2,392",,,,
5,Cranes Nest,https://www.rentcafe.com/apartments/nc/franklinton/cranes-nest0/default.aspx,70 Cranes Nest,Franklinton,NC,,27525,"$2,392",,,,
6,"7415 Irwin Road Charlotte, NC 28215",https://www.rentcafe.com/apartments/nc/charlotte/7415-irwin-road-charlotte-nc-28215/default.aspx,7415 Irwin Road,Charlotte,NC,,28215,"$1,985",,,,
7,"3883 Meadow Ridge Drive NW Concord, NC 28027",https://www.rentcafe.com/apartments/nc/concord/3883-meadow-ridge-drive-nw-concord-nc-28027/default.aspx,3883 Meadow Ridge Drive NW,Concord,NC,,28027,"$1,985","$2,595",,,
8,"2716 Black Cherry Drive Charlotte, NC 28262",https://www.rentcafe.com/apartments/nc/charlotte/2716-black-cherry-drive-charlotte-nc-28262-0/default.aspx,2716 Black Cherry Drive,Charlotte,NC,,28262,"$1,985","$2,025",,,
9,"9029 Jefferson Woods Drive King, NC 27045",https://www.rentcafe.com/apartments/nc/king/9029-jefferson-woods-drive-king-nc-27045/default.aspx,9029 Jefferson Woods Drive,King,NC,,27045,"$2,195","$2,025",,,
10,Spacious 2 Bed 2 Bath End Unit Ranch Townhome,https://www.rentcafe.com/apartments/nc/durham/300-34a-woodcroft-parkway0/default.aspx,300-34A West Woodcroft Parkway,Durham,NC,,27713,"$2,195","$2,025",,,
11,"5422 Bentgrass Run Drive Charlotte, NC 28269",https://www.rentcafe.com/apartments/nc/charlotte/5422-bentgrass-run-drive-charlotte-nc-28269-0/default.aspx,5422 Bentgrass Run Drive,Charlotte,NC,,28269,"$2,195","$2,825",,,
12,"15114 Oldcorn Lane Charlotte, NC 28262",https://www.rentcafe.com/apartments/nc/charlotte/15114-oldcorn-lane-charlotte-nc-28262/default.aspx,15114 Oldcorn Lane,Charlotte,NC,,28262,"$2,195","$1,995",,,
13,"4144 Shadetree Drive Winston-Salem, NC 27107",https://www.rentcafe.com/apartments/nc/winston-salem/4144-shadetree-drive-winston-salem-nc-27107-0/default.aspx,4144 Shadetree Drive,Winston-Salem,NC,,27107,"$2,195","$2,645",,,
14,Summit View,https://www.rentcafe.com/apartments/nc/browns-summit/summit-view/default.aspx,5003 Turnbridge Apts,Browns Summit,NC,,27214,Ask for pricing,"$2,645","$1,065",,
15,"205 Barberry Drive Belmont, NC 28012",https://www.rentcafe.com/apartments/nc/belmont/205-barberry-drive-belmont-nc-28012/default.aspx,205 Barberry Drive,Belmont,NC,,28012,"$2,945","$2,645","$1,065",,
16,"9600 Runswyck Court Charlotte, NC 28269",https://www.rentcafe.com/apartments/nc/charlotte/9600-runswyck-court-charlotte-nc-28269/default.aspx,9600 Runswyck Court,Charlotte,NC,,28269,"$2,945","$2,445","$1,065",,
17,317-319 HANNAH LANE,https://www.rentcafe.com/apartments/nc/youngsville/317-319-hannah-lane/default.aspx,317-319 HANNAH LANE,YOUNGSVILLE,NC,4.50,27596,"$2,945","$2,445","$1,065",,
18,"428 Stapleford Lane Fuquay Varina, NC 27526",https://www.rentcafe.com/apartments/nc/fuquay-varina/428-stapleford-lane-fuquay-varina-nc-27526/default.aspx,428 Stapleford Lane,Fuquay Varina,NC,4.50,27526,"$2,945","$2,125","$1,065",,
19,"4411 Alderny Circle High Point, NC 27265",https://www.rentcafe.com/apartments/nc/high-point/4411-alderny-circle-high-point-nc-27265/default.aspx,4411 Alderny Circle,High Point,NC,4.50,27265,"$2,945","$2,125","$1,065","$3,095",
20,1211 W Friendly Ave,https://www.rentcafe.com/apartments/nc/greensboro/1211-w-friendly-ave/default.aspx,1211 W Friendly Ave,Greensboro,NC,4.50,27403,"$2,945","$2,125","$1,065","$3,095",
21,"307 Sutton Place Mebane, NC 27302",https://www.rentcafe.com/apartments/nc/mebane/307-sutton-place-mebane-nc-27302/default.aspx,307 Sutton Place,Mebane,NC,4.50,27302,"$2,945","$2,275","$1,065","$3,095",
22,"8900 Juaquin Lane Raleigh, NC 27603",https://www.rentcafe.com/apartments/nc/raleigh/8900-juaquin-lane-raleigh-nc-27603/default.aspx,8900 Juaquin Lane,Raleigh,NC,4.50,27603,"$1,795","$2,275","$1,065","$3,095",
23,"1907 Newcomb Drive Whitsett, NC 27377",https://www.rentcafe.com/apartments/nc/whitsett/1907-newcomb-drive-whitsett-nc-27377/default.aspx,1907 Newcomb Drive,Whitsett,NC,4.50,27377,"$1,795","$2,025","$1,065","$3,095",
24,"16113 Stuarts Draft Court Charlotte, NC 28278",https://www.rentcafe.com/apartments/nc/charlotte/16113-stuarts-draft-court-charlotte-nc-28278/default.aspx,16113 Stuarts Draft Court,Charlotte,NC,4.50,28278,"$2,195","$2,025","$1,065","$3,095",
25,"2004 Buckminster Drive Whitsett, NC 27377",https://www.rentcafe.com/apartments/nc/whitsett/2004-buckminster-drive-whitsett-nc-27377-0/default.aspx,2004 Buckminster Drive,Whitsett,NC,4.50,27377,"$1,945","$2,025","$1,065","$3,095",
26,Walton Farms Multifamily NT,https://www.rentcafe.com/apartments/nc/clayton/walton-farms-multifamily-nt/default.aspx,284 Gretzky Parkway,Clayton,NC,4.50,27527,"$1,945","$2,025",Ask for pricing,"$3,095","$1,000"
27,"4216 Mckendree Way Charlotte, NC 28269",https://www.rentcafe.com/apartments/nc/charlotte/4216-mckendree-way-charlotte-nc-28269/default.aspx,4216 Mckendree Way,Charlotte,NC,4.50,28269,"$2,095","$2,025",Ask for pricing,"$3,095","$1,000"
28,"2023 Arbor Crest Charlotte, NC 28262",https://www.rentcafe.com/apartments/nc/charlotte/2023-arbor-crest-charlotte-nc-28262/default.aspx,2023 Arbor Crest,Charlotte,NC,4.50,28262,"$2,095","$2,495",Ask for pricing,"$3,095","$1,000"
29,Prince Noah Loop,https://www.rentcafe.com/apartments/nc/wake-forest/prince-noah-loop/default.aspx,3808 Prince Noah Loop,Wake Forest,NC,4.50,27587,"$2,095","$2,495",Ask for pricing,"$3,095","$1,000"
30,"230 Mott Road Mooresville, NC 28115",https://www.rentcafe.com/apartments/nc/mooresville/230-mott-road-mooresville-nc-28115-0/default.aspx,230 Mott Road,Mooresville,NC,4.50,28115,"$2,245","$2,495",Ask for pricing,"$3,095","$1,000"
31,"9749 Tidal Court Huntersville, NC 28078",https://www.rentcafe.com/apartments/nc/huntersville/9749-tidal-court-huntersville-nc-28078-0/default.aspx,9749 Tidal Court,Huntersville,NC,4.50,28078,"$2,495","$2,495",Ask for pricing,"$3,095","$1,000"
32,"6623 Barton Creek Drive Whitsett, NC 27377",https://www.rentcafe.com/apartments/nc/whitsett/6623-barton-creek-drive-whitsett-nc-27377/default.aspx,6623 Barton Creek Drive,Whitsett,NC,4.50,27377,"$2,495","$2,495",Ask for pricing,"$2,095","$1,000"
33,Hawthorne At Indy West,https://www.rentcafe.com/apartments/nc/wilmington/indy-west0/default.aspx,3960 Independence Blvd,Wilmington,NC,4.50,28412,Ask for pricing,"$2,495","$1,797+","$2,095","$1,486+"
34,"5322 Liberty Hall Circle Winston-Salem, NC 27106",https://www.rentcafe.com/apartments/nc/winston-salem/5322-liberty-hall-circle-winston-salem-nc-27106-0/default.aspx,5322 Liberty Hall Circle,Winston-Salem,NC,4.50,27106,Ask for pricing,"$1,575","$1,797+","$2,095","$1,486+"
35,"8314 Country Oaks Road Charlotte, NC 28227",https://www.rentcafe.com/apartments/nc/charlotte/8314-country-oaks-road-charlotte-nc-28227/default.aspx,8314 Country Oaks Road,Charlotte,NC,4.50,28227,"$1,645","$1,575","$1,797+","$2,095","$1,486+"
36,"12545 Palomino Drive Midland, NC 28107",https://www.rentcafe.com/apartments/nc/midland/12545-palomino-drive-midland-nc-28107/default.aspx,12545 Palomino Drive,Midland,NC,4.50,28107,"$1,845","$1,575","$1,797+","$2,095","$1,486+"
