,name,link,address,city,state,ratings,zipcode,1 BED,Studio,2 BEDS,3 BEDS,2+ BEDS,3+ BEDS
0,Bradford Ridge,https://www.rentcafe.com/apartments/nc/durham/bradford-ridge/default.aspx,710 S. Lasalle Street,Durham,NC,,27705,"$1,689+",,,,,
1,Ivy Hollow,https://www.rentcafe.com/apartments/nc/charlotte/ivy-hollow-0/default.aspx,4920 Tanager Park Drive,Charlotte,NC,,28262,"$1,689+","$1,088",Ask for pricing,"$1,630+",,
2,The Banks At Rivergate,https://www.rentcafe.com/apartments/nc/charlotte/tryon-park-at-rivergate-3/default.aspx,12620 Toscana Way,Charlotte,NC,,28273,"$1,549","$1,088","$1,875+","$1,630+",,
3,Hawthorne At Haywood,https://www.rentcafe.com/apartments/nc/asheville/hawthorne-at-haywood-0/default.aspx,125 River Birch Grove Road,Asheville,NC,,28806,"$1,534+","$1,088","$1,893+","$2,196+",,
4,Autumn Pointe,https://www.rentcafe.com/apartments/nc/raleigh/autumn-pointe/default.aspx,"3401 Bremer Hall Ct,",Raleigh,NC,4.50,27615,"$1,289+","$1,088","$1,529+","$2,196+",,
5,Hideaway At Kingspark,https://www.rentcafe.com/apartments/nc/charlotte/hideaway-at-kingspark/default.aspx,2425 Kingspark Dr,Charlotte,NC,4.50,28208,"$1,289+","$1,088","$1,300","$2,196+",,
6,Stoney Trace,https://www.rentcafe.com/apartments/nc/charlotte/victoria-park-apartment-homes/default.aspx,4616 Stoney Trace Drive,Charlotte,NC,4.50,28227,"$1,244+","$1,088","$1,313+","$1,705+",,
7,Sutton Station,https://www.rentcafe.com/apartments/nc/durham/sutton-station/default.aspx,5836 Fayetteville Road,Durham,NC,4.50,27713,Ask for pricing,"$1,088","$1,727+","$1,705+",,
8,Still Meadow Village,https://www.rentcafe.com/apartments/nc/wilmington/still-meadow-village/default.aspx,4632 Still Meadow Dr.,Wilmington,NC,4.50,28412,Ask for pricing,"$1,088","$1,727+","$1,705+",,
9,Providence Court Apartments,https://www.rentcafe.com/apartments/nc/charlotte/providence-court-apartments/default.aspx,8110 Providence Ct Ln,Charlotte,NC,4.00,28270,"$1,345+","$1,088","$1,630+","$1,975+",,
10,Grand View Luxury Apartments,https://www.rentcafe.com/apartments/nc/wilmington/grand-view-luxury-apartments/default.aspx,7215 Wrightsville Avenue,Wilmington,NC,4.50,28403,Ask for pricing,"$1,088","$2,247+",Ask for pricing,,
11,Preserve At Mountain Island Lake,https://www.rentcafe.com/apartments/nc/charlotte/preserve-at-mountain-island-lake/default.aspx,10410 Cooks Way Drive,Charlotte,NC,3.50,28216,"$1,212+","$1,088","$1,500+","$1,599+",,
12,The Devon Four25,https://www.rentcafe.com/apartments/nc/raleigh/the-devon-four25/default.aspx,717 Tucker Street,Raleigh,NC,4.50,27603,"$1,415+","$1,597+","$2,228+","$1,599+",,
13,230 DIXIE AVENUE,https://www.rentcafe.com/apartments/nc/wilmington/230-dixie-avenue-0/default.aspx,230 DIXIE AVENUE,Wilmington,NC,4.50,28403,"$1,415+","$1,597+","$2,228+","$1,800",,
14,Burton Hills,https://www.rentcafe.com/apartments/nc/arden/burton-hills/default.aspx,105 Sweeten Grass Hill,Arden,NC,4.00,28074,"$1,678",Ask for pricing,"$2,228+","$1,800","$1,870+",
15,McArthur Landing,https://www.rentcafe.com/apartments/nc/fayetteville/mcarthur-landing-0/default.aspx,2500 Mcarthur Landing Circle,Fayetteville,NC,3.50,28311,"$1,678",Ask for pricing,"$1,300+","$1,450+","$1,870+",
16,5115 Park Place Apartments,https://www.rentcafe.com/apartments/nc/charlotte/5115-park-place/default.aspx,5115 Park Road,Charlotte,NC,3.50,28209,"$1,593+",Ask for pricing,"$1,300+","$1,450+","$1,931+",
17,The Park At San Remo,https://www.rentcafe.com/apartments/nc/charlotte/the-park-at-san-remo/default.aspx,8242 Runaway Bay Dr.,Charlotte,NC,3.50,28212,"$1,149",Ask for pricing,"$1,259",Ask for pricing,"$1,931+",
18,Carriage House,https://www.rentcafe.com/apartments/nc/greenville/carriage-house16/default.aspx,2421 Charles Blvd,Greenville,NC,3.50,27858,"$1,149",Ask for pricing,"$1,000",Ask for pricing,"$1,931+",
19,The Apartments At Blakeney,https://www.rentcafe.com/apartments/nc/charlotte/the-apartments-at-blakeney1/default.aspx,8718 Wintersweet Lane,Charlotte,NC,3.50,28277,"$1,591+",Ask for pricing,"$1,940+","$2,010+","$1,931+",
20,South Main Apartments,https://www.rentcafe.com/apartments/nc/hope-mills/south-main-apartments/default.aspx,4003 William Bill Luther Drive,Hope Mills,NC,3.50,28348,Ask for pricing,Ask for pricing,"$1,180+","$2,010+","$1,931+",
21,Adara Alexander Place,https://www.rentcafe.com/apartments/nc/raleigh/adara-alexander-place/default.aspx,7610 Aura Loop #101,Raleigh,NC,5.00,27617,"$1,589+",Ask for pricing,"$1,812+","$2,115+","$1,931+",
22,Kannan Station Apartment Homes,https://www.rentcafe.com/apartments/nc/kannapolis/kannon-station-apartment-homes/default.aspx,1100 Coopers Ridge Dr,Kannapolis,NC,4.00,28083,"$1,305+",Ask for pricing,"$1,812+","$2,115+",Ask for pricing,
23,The Meadows Apartment Homes,https://www.rentcafe.com/apartments/nc/asheville/the-meadows-apartment-homes/default.aspx,99 Ascension Drive,Asheville,NC,4.50,28806,"$1,199",Ask for pricing,"$1,459","$1,649+",Ask for pricing,
24,Retreat At Weaverville,https://www.rentcafe.com/apartments/nc/weaverville/retreat-at-weaverville/default.aspx,61 Garrison Branch Road,Weaverville,NC,4.50,28787,"$1,449+",Ask for pricing,"$1,699","$2,199",Ask for pricing,
