,name,link,address,city,state,ratings,zipcode,1 BED,2 BEDS,3 BEDS,Studio,2+ BEDS
0,Hawthorne At Mills Gap,https://www.rentcafe.com/apartments/nc/asheville/hawthorne-at-mills-gap/default.aspx,60 Mills Gap Road,Asheville,NC,5.00,28803,"$1,679+","$2,057",Ask for pricing,,
1,The Landing Apartment Homes,https://www.rentcafe.com/apartments/nc/fayetteville/the-landing-apartments2/default.aspx,581 Abbotts Landing Drive,Fayetteville,NC,4.50,28314,"$1,030+",Ask for pricing,Ask for pricing,,
2,507 E Martin St,https://www.rentcafe.com/apartments/nc/raleigh/507-e-martin-st/default.aspx,507 E Martin St,Raleigh,NC,4.00,27601,"$1,030+",Ask for pricing,Ask for pricing,,
3,ARIUM Trailwood,https://www.rentcafe.com/apartments/nc/raleigh/arium-trailwood/default.aspx,3004 Dorner Cir,Raleigh,NC,4.00,27606,"$1,230+","$1,510+",Ask for pricing,,
4,Windsor Addison Park,https://www.rentcafe.com/apartments/nc/charlotte/addison-park0/default.aspx,6225 Hackberry Creek Trail,Charlotte,NC,3.00,28269,"$1,300+","$1,442+","$1,742+",,
5,Loray Mill Lofts,https://www.rentcafe.com/apartments/nc/gastonia/loray-mill-lofts0/default.aspx,300 S. Firestone St. #200,Gastonia,NC,3.50,28052,Ask for pricing,"$1,505","$1,979",,
6,Liberty Pointe Phase 2,https://www.rentcafe.com/apartments/nc/midway-park/liberty-pointe-phase-2/default.aspx,1000 Yorktown Lane,Midway Park,NC,3.50,28544,Ask for pricing,"$1,505","$1,979",,
7,The Village At Brierfield Apartment Homes,https://www.rentcafe.com/apartments/nc/charlotte/village-at-brierfield-apartment-homes/default.aspx,11609 Windy Creek Dr,Charlotte,NC,3.00,28262,"$1,130+","$1,275+",Ask for pricing,,
8,Mooresville Station,https://www.rentcafe.com/apartments/nc/mooresville/mooresville-station0/default.aspx,161 Lansing Cir,Mooresville,NC,3.00,28115,$984+,"$1,275+",Ask for pricing,$803+,"$1,136+"
9,Bexley At Brier Creek,https://www.rentcafe.com/apartments/nc/raleigh/bexley-at-brier-creek/default.aspx,8230 Stonebrook Terrace,Raleigh,NC,4.00,27617,"$1,419+","$1,699+","$1,999+",$803+,"$1,136+"
10,The Residences At Chadwick Square Court,https://www.rentcafe.com/apartments/nc/hendersonville/the-residences-at-chadwick-square-court/default.aspx,300 Chadwick Square Court,Hendersonville,NC,4.00,28739,"$1,419+","$1,699+","$1,999+",$803+,"$1,136+"
11,Granville Oaks Apartment Homes,https://www.rentcafe.com/apartments/nc/creedmoor/granville-oaks-apt-homes/default.aspx,2162 Mill Stream Circle,Creedmoor,NC,4.00,27522,Ask for pricing,"$1,199","$1,419",$803+,"$1,136+"
12,501 Estates,https://www.rentcafe.com/apartments/nc/durham/501-estates/default.aspx,240 Ivy Meadow Lane,Durham,NC,3.50,27707,"$1,470+","$1,767+","$1,816+",$803+,"$1,136+"
