,name,link,address,city,state,ratings,zipcode,1 BED,2 BEDS,3 BEDS,Studio,3+ BEDS,2+ BEDS
0,Griffin Weston,https://www.rentcafe.com/apartments/nc/cary/griffin-weston/default.aspx,110 Singh Lane,Cary,NC,,27513,"$2,075+","$2,675+","$3,250+",,,
1,Gramercy Square At Ayrsley,https://www.rentcafe.com/apartments/nc/charlotte/gramercy-square-at-ayrsley/default.aspx,3201 Windshire Ln,Charlotte,NC,4.50,28273,"$1,395+","$1,680+","$2,045+",,,
2,2105 North Hills Drive,https://www.rentcafe.com/apartments/nc/raleigh/2105-north-hills-drive/default.aspx,2105 North Hills Drive,Raleigh,NC,4.50,27612,Ask for pricing,"$1,680+","$1,170",,,
3,The Retreat At The Park,https://www.rentcafe.com/apartments/nc/burlington/the-retreat-at-the-park-0/default.aspx,122 Retreat Lane,Burlington,NC,3.50,27215,Ask for pricing,"$1,335+","$1,570+",,,
4,The Preserve At Grande Oaks Apartment Homes,https://www.rentcafe.com/apartments/nc/fayetteville/the-preserve-at-grande-oaks-apartment-homes/default.aspx,111 Grande Oaks Dr,Fayetteville,NC,4.50,28314,"$1,300+","$1,550+",Ask for pricing,,,
5,Villas On Lash,https://www.rentcafe.com/apartments/nc/salisbury/crosswinds-apartments-4/default.aspx,315 Lash Dr.,Salisbury,NC,4.50,28147,$875,"$1,550+",Ask for pricing,,,
6,ARIUM Kildaire,https://www.rentcafe.com/apartments/nc/cary/arium-kildaire/default.aspx,2600 Harvest Creek Pl,Cary,NC,4.50,27518,"$1,380+","$1,410+","$1,940+",,,
7,The Edge At Lees Chapel,https://www.rentcafe.com/apartments/nc/greensboro/the-edge-at-lees-chapel/default.aspx,3822 Mizell Rd.,Greensboro,NC,4.00,27405,$915+,$990+,"$1,940+",,,
8,Pines At Glen Laurel Luxury Apartments,https://www.rentcafe.com/apartments/nc/clayton/pines-at-glen-laurel-luxury-apartments/default.aspx,20 Pine Hall Drive,Clayton,NC,4.50,27527,"$1,290+","$1,550","$1,850",,,
9,Summerwind Apartments,https://www.rentcafe.com/apartments/nc/garner/summerwind-apartments-0/default.aspx,40 Summer Breeze Blvd,Garner,NC,4.00,27529,"$1,474+","$1,504+","$1,904+",,,
10,Stone Gate,https://www.rentcafe.com/apartments/nc/charlotte/stone-gate0/default.aspx,950 Southwood Oaks Ln,Charlotte,NC,4.00,28212,"$1,200","$1,400","$1,904+",,,
11,Shadowood Apartments,https://www.rentcafe.com/apartments/nc/chapel-hill/shadowood-apartments-0/default.aspx,110 Piney Mountain Rd,Chapel Hill,NC,3.50,27514,"$1,271+","$1,582+","$1,904+",,,
12,Environs Lofts At East 54,https://www.rentcafe.com/apartments/nc/chapel-hill/environs-lofts-at-east-54/default.aspx,5000 Environ Way,Chapel Hill,NC,4.00,27517,"$1,375+","$2,012","$1,904+",,,
13,Selwyn Flats Apartments,https://www.rentcafe.com/apartments/nc/charlotte/selwyn-flats/default.aspx,100 Matador Lane,Charlotte,NC,4.00,28209,"$1,345+","$2,012","$1,904+","$1,320+",,
14,Osprey Cove South Apartments,https://www.rentcafe.com/apartments/nc/jacksonville/osprey-cove-apartments/default.aspx,1834 Wilmington Hwy,Jacksonville,NC,4.00,28540,$750,$850,"$1,904+","$1,320+",,
15,Poplin Glen,https://www.rentcafe.com/apartments/nc/indian-trail/popline-glen/default.aspx,105 Briana Marie Way,Indian Trail,NC,4.00,28079,$750,"$1,947","$1,795","$1,320+",,
