,URL
0,https://www.yelp.com/biz/haberdish-charlotte
1,https://www.yelp.com/biz/good-food-on-montford-charlotte-2
2,https://www.yelp.com/biz/the-cellar-at-duckworths-charlotte-2
3,https://www.yelp.com/biz/roosters-uptown-charlotte-5
4,https://www.yelp.com/biz/easy-like-sunday-charlotte
5,https://www.yelp.com/biz/dogwood-a-southern-table-charlotte
6,https://www.yelp.com/biz/bulla-gastrobar-charlotte-2
7,https://www.yelp.com/biz/peppervine-charlotte-4
8,https://www.yelp.com/biz/the-southern-pecan-charlotte-2
9,https://www.yelp.com/biz/nuvole-rooftop-twentytwo-charlotte-2
10,https://www.yelp.com/biz/flourshop-charlotte
11,https://www.yelp.com/biz/rh-rooftop-restaurant-charlotte-charlotte-3
12,https://www.yelp.com/biz/link-and-pin-new-bern-charlotte
13,https://www.yelp.com/biz/kid-cashew-charlotte
14,https://www.yelp.com/biz/summerbird-charlotte-4
15,https://www.yelp.com/biz/north-italia-charlotte-charlotte-2
16,https://www.yelp.com/biz/the-crunkleton-charlotte
17,https://www.yelp.com/biz/bit-charlotte
18,https://www.yelp.com/biz/little-mamas-charlotte-2
19,https://www.yelp.com/biz/lulus-maryland-style-chicken-and-seafood-charlotte
20,https://www.yelp.com/biz/supperland-charlotte
21,https://www.yelp.com/biz/the-jimmy-charlotte
22,https://www.yelp.com/biz/yunta-nikkei-charlotte-2
23,https://www.yelp.com/biz/el-puro-cuban-restaurant-charlotte
24,https://www.yelp.com/biz/calle-sol-latin-caf%C3%A9-and-cevicheria-charlotte
25,https://www.yelp.com/biz/moa-korean-bbq-and-bar-charlotte
26,https://www.yelp.com/biz/seoul-food-meat-company-charlotte
27,https://www.yelp.com/biz/salted-melon-charlotte
28,https://www.yelp.com/biz/leos-italian-social-charlotte-2
29,https://www.yelp.com/biz/the-market-at-7th-street-charlotte
30,https://www.yelp.com/biz/bricktops-restaurant-charlotte-2
31,https://www.yelp.com/biz/midwood-smokehouse-charlotte
32,https://www.yelp.com/biz/roosters-at-southpark-charlotte-4
33,https://www.yelp.com/biz/fine-and-fettle-charlotte
34,https://www.yelp.com/biz/piada-italian-street-food-charlotte
35,https://www.yelp.com/biz/optimist-hall-charlotte-3
36,https://www.yelp.com/biz/jasmine-grill-charlotte
37,https://www.yelp.com/biz/the-fig-tree-restaurant-charlotte
38,https://www.yelp.com/biz/fenwicks-charlotte-2
39,https://www.yelp.com/biz/mimosa-grill-charlotte
40,https://www.yelp.com/biz/bang-bang-burgers-charlotte-2
41,https://www.yelp.com/biz/optimist-hall-charlotte-3
42,https://www.yelp.com/biz/osteria-luca-charlotte
43,https://www.yelp.com/biz/800-degrees-woodfired-kitchen-charlotte-3
44,https://www.yelp.com/biz/ace-no-3-myers-park-charlotte
45,https://www.yelp.com/biz/ilios-crafted-greek-charlotte
46,https://www.yelp.com/biz/indaco-charlotte
47,https://www.yelp.com/biz/leah-and-louise-charlotte
48,https://www.yelp.com/biz/ruby-sunshine-charlotte-2
49,https://www.yelp.com/biz/velvet-taco-charlotte-4
50,https://www.yelp.com/biz/velvet-taco-charlotte-4
51,https://www.yelp.com/biz/sea-level-nc-charlotte-4
52,https://www.yelp.com/biz/stir-charlotte-charlotte-2
53,https://www.yelp.com/biz/osteria-luca-charlotte
54,https://www.yelp.com/biz/lets-meat-kbbq-charlotte
55,https://www.yelp.com/biz/the-eagle-food-and-beer-hall-charlotte
56,https://www.yelp.com/biz/the-good-wurst-company-charlotte
57,https://www.yelp.com/biz/bulgogi-box-charlotte
58,https://www.yelp.com/biz/midnight-diner-charlotte
59,https://www.yelp.com/biz/noble-smoke-charlotte
60,https://www.yelp.com/biz/pasta-and-provisions-charlotte-3
61,https://www.yelp.com/biz/carolines-oyster-bar-charlotte-2
62,https://www.yelp.com/biz/the-good-wurst-company-charlotte
63,https://www.yelp.com/biz/the-cowfish-sushi-burger-bar-charlotte
64,https://www.yelp.com/biz/indigrille-charlotte
65,https://www.yelp.com/biz/cilantro-noodle-charlotte
66,https://www.yelp.com/biz/taco-mama-dilworth-charlotte
67,https://www.yelp.com/biz/vana-charlotte
68,https://www.yelp.com/biz/alexander-michaels-charlotte
69,https://www.yelp.com/biz/yame-asian-noodles-charlotte
70,https://www.yelp.com/biz/yame-asian-noodles-charlotte
71,https://www.yelp.com/biz/suffolk-punch-brewing-charlotte-2
72,https://www.yelp.com/biz/bardo-charlotte
73,https://www.yelp.com/biz/the-dumpling-lady-charlotte
74,https://www.yelp.com/biz/bar-marcel-charlotte
75,https://www.yelp.com/biz/the-kings-kitchen-charlotte
76,https://www.yelp.com/biz/vicious-biscuit-charlotte
77,https://www.yelp.com/biz/chez-marie-p%C3%A2tisserie-charlotte
78,https://www.yelp.com/biz/superica-charlotte-5
79,https://www.yelp.com/biz/sosu-charlotte
80,https://www.yelp.com/biz/harry-s-grille-and-tavern-charlotte
81,https://www.yelp.com/biz/cicchetti-charlotte
82,https://www.yelp.com/biz/futo-buta-charlotte-3
83,https://www.yelp.com/biz/stoke-charlotte-charlotte-2
84,https://www.yelp.com/biz/la-belle-helene-charlotte-2
85,https://www.yelp.com/biz/the-public-house-charlotte
86,https://www.yelp.com/biz/cowbell-burger-and-whiskey-bar-charlotte
87,https://www.yelp.com/biz/gyu-kaku-japanese-bbq-charlotte
88,https://www.yelp.com/biz/mariposa-charlotte
89,https://www.yelp.com/biz/the-waterman-fish-bar-charlotte
90,https://www.yelp.com/biz/moon-thai-and-japanese-restaurant-charlotte
91,https://www.yelp.com/biz/napa-on-providence-charlotte
92,https://www.yelp.com/biz/pinkys-westside-grill-charlotte
93,https://www.yelp.com/biz/grinning-mule-charlotte-2
94,https://www.yelp.com/biz/eight-and-sand-kitchen-charlotte
95,https://www.yelp.com/biz/tupelo-honey-charlotte-8
96,https://www.yelp.com/biz/day-and-night-exotic-cereal-bar-charlotte
97,https://www.yelp.com/biz/the-goodyear-house-charlotte
98,https://www.yelp.com/biz/burtons-grill-and-bar-park-road-charlotte
99,https://www.yelp.com/biz/chicken-go-go-charlotte-2
100,https://www.yelp.com/biz/moosehead-grill-charlotte
101,https://www.yelp.com/biz/fairweather-charlotte
102,https://www.yelp.com/biz/penguin-drive-in-charlotte-2
103,https://www.yelp.com/biz/joa-korean-food-charlotte
104,https://www.yelp.com/biz/bossy-beulahs-charlotte
105,https://www.yelp.com/biz/the-capital-grille-charlotte-2
106,https://www.yelp.com/biz/capishe-real-italian-kitchen-charlotte
107,https://www.yelp.com/biz/brasas-arepas-and-grill-charlotte-2
108,https://www.yelp.com/biz/jinya-ramen-bar-ally-charlotte-center-charlotte-2
109,https://www.yelp.com/biz/cheat-s-cheesesteak-parlor-charlotte
110,https://www.yelp.com/biz/mama-ricottas-charlotte-16
111,https://www.yelp.com/biz/eddie-vs-prime-seafood-charlotte-4
112,https://www.yelp.com/biz/ever-andalo-charlotte
113,https://www.yelp.com/biz/steak-48-charlotte
